outfall_id,receiving_waters,events2018,volume2018,events2016,volume2016,events2015,volume2015,events2014,volume2014,events2013,volume2013,events2006,volume2006,location,discharge_activation_type,treatment_plant,facility,spdes_id,latitude,longitude,of_size
1,4,,,11,Model,NYCDEP - Wards Island WPCP,NY0026131-073,-73.921727,40.801603,40.801603,-73.921727,"(40.801603, -73.921727)",,42,,1,,,Bronx Kills,3,28
106,29,,,123,Monitoring,NYCDEP - Wards Island WPCP,NY0026131-075,-73.932427,40.813955,40.813955,-73.932427,"(40.813955, -73.932427)",,46,,139,,,Harlem River,121,36
108,37,,,77,Model,NYCDEP - Wards Island WPCP,NY0026131-077,-73.916069,40.875672,40.875672,-73.916069,"(40.875672, -73.916069)",,58,,129,,,Harlem River,100,36
42,40,,,0,Model,NYCDEP - Wards Island WPCP,NY0026131-078,-73.910978,40.874169,40.874169,-73.910978,"(40.874169, -73.910978)",,55,,47,,,Harlem River,41,41
76,45,,,43,Model,NYCDEP - Wards Island WPCP,NY0026131-076,-73.922483,40.878621,40.878621,-73.922483,"(40.878621, -73.922483)",,56,,82,,,Harlem River,72,42
TI-008,Alley Creek,0,0,0,0,0,0,0,0,0,0,38,59,"46TH AVENUE ( REG # 46, 47, 48, 49)",Monitoring,TI,NYCDEP - Tallmans Island WPCP,NY0026239-008,40.76178,-73.7511,"10' X 7' 6"""""
TI-024,Alley Creek,0,0,0,0,0,0,0,0,0,0,0,0,61ST AVENUE,Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-024,40.75663,-73.7446,DB 6' X 6'
TI-025,Alley Creek,30,208,14,105,20,110,25,203,155,25,0,0,400' SOUTH OF LIRR BRIDGE,Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-025,40.76415,-73.7528,"52' 6"""" X 9' 0"""""
TI-007,Alley Creek,3,0,1,0,49,42,58,55,0,0,0,0,NORTHERN BLVD,Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-007,40.76302,-73.7518,"18"""" DIA"
JAM-003A,Bergen Basin,46,194,50,235,46,266,0,0,0,0,57,300,123RD STREET (REG # 14),Monitoring,JA,NYCDEP - Jamaica WPCP,NY0026115-003A,40.66211,-73.8185,"DBL 13' 6"""" X 9'"
JAM-006,Bergen Basin,32,3,45,17,12,4,0,0,0,0,61,30,155TH AVENUE (REG # 1),Monitoring,JA,NYCDEP - Jamaica WPCP,NY0026115-006,40.66049,-73.8112,3BL 19' X 9'
JAM-003,Bergen Basin,60,690,46,271,35,257,55,877,909,65,47,319,123RD STREET (REG # 3),Monitoring,JA,NYCDEP - Jamaica WPCP,NY0026115-003,40.66214,-73.8186,DBL 8' X 9'
BB-002,Bowery Bay,68,379,49,298,51,129,47,98,71,28,0,988,45TH STREET (REG # 2),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-002,40.77952,-73.8925,9' X 9' FT
BB-005,Bowery Bay,52,464,60,527,61,679,63,998,708,51,0,1520,E/O 81ST STREET (REG # 14),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-005,40.77356,-73.8892,"14' 7"""" X 8' FT"
BB-003,Bowery Bay,44,41,29,29,29,24,31,41,26,28,0,54,HAZEN STREET (REG # 13),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-003,40.77638,-73.8914,"10' 6"""" X 5' 9"""" FT"
BB-001,Bowery Bay,0,0,0,0,0,0,0,0,0,0,0,0,BOWERY BAY W.P.C.P. OUTFALL,Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-001,40.78091,-73.8919,"90"""" DIA"
WIB-068,Bronx Kill,46,170,41,227,29,127,5,0,0,5,0,222,"BROOK AVENUE (REG # 53, 54)",Monitoring,WI,NYCDEP - Wards Island WPCP,NY0026131-068,40.80241,-73.9229,"12' X 9' 10"""""
WIB-069,Bronx Kill,5,0,5,0,1,0,3,0,0,2,0,0,CYPRESS AVENUE (REG # 71),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-069,40.79912,-73.9193,"2' 2"""" X 3'"
WIB-073,Bronx Kill,42,3,28,4,8,3,7,1,1,4,0,11,SAINT ANN'S AVENUE (REG # 73),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-073,40.80159,-73.9217,"DBL 144"""" DIA"
WIM-034,Bronx Kill,46,1,30,1,12,1,22,1,1,20,0,1,E 124TH STREET (REG # 34),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-034,40.79976,-73.9289,"3' 6"""" X 2' 4"""""
WIM-035,Bronx Kill,46,9,35,8,19,6,27,10,8,24,0,8,E 125TH STREET (REG # 35),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-035,40.80104,-73.929,"4' X 2' 8"""" Egg"
WIM-033,Bronx Kill,45,4,33,4,14,3,24,5,4,22,0,4,E 122ND STREET (REG # 33),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-033,40.79829,-73.929,"4' 9"""" X 4' FT"
HP-007,Bronx River,20,43,11,28,10,27,21,155,78,23,21,88,"E 177TH STREET (CSO-27,27A)",Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-007,40.83899,-73.8787,"DBL 11' 6"""" X 6' 6"""""
HP-010,Bronx River,2,2,1,0,0,0,2,3,0,0,1,1,LACOMBE AVENUE,Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-010,40.8134,-73.8698,9' X 6'
HP-008,Bronx River,3,3,4,1,2,1,21,9,3,26,17,4,LAFAYETTE AVE & COLGATE AVENUE,Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-008,40.81896,-73.8814,"54"""" DIA"
HP-004,Bronx River,32,24,20,20,18,17,20,38,17,26,56,100,WEST FARM ROAD,Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-004,40.83826,-73.8793,8' X 8'
HP-009,Bronx River,56,418,41,273,38,321,37,551,460,50,51,814,RANDALL AVENUE & METCALF AVENUE (REG #13),Monitoring,HP,NYCDEP - Hunt's Point WPCP,NY0026191-009,40.8145,-73.8708,14' X 8'
RH-020,Buttermilk Channel,16,2,17,1,14,1,10,0,0,12,0,0,DEGRAW STREET ( REG # R-10 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-020,40.68666,-74.0057,"18"""" DIA"
RH-019,Buttermilk Channel,37,22,28,13,22,11,25,12,9,29,0,13,HAMILTON AVENUE ( REG # R-9 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-019,40.68634,-74.0081,"72"""" DIA"
RH-025,Buttermilk Channel,34,10,25,6,18,6,24,7,6,30,0,5,PIONEER STREET (REG # R-5 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-025,40.68042,-74.013,"30"""" DIA"
RH-023,Buttermilk Channel,34,6,25,4,15,3,24,3,2,22,0,2,COMMERCE STREET ( REG # R-7 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-023,40.6825,-74.0106,"24"""" DIA"
RH-022,Buttermilk Channel,35,7,25,4,17,4,23,3,2,23,0,2,s/o Bowne Street ( Reg # R-8 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-022,40.6832,-74.0098,"24"""" DIA"
RH-018,Buttermilk Channel,33,11,23,9,15,7,19,6,5,20,0,4,KANE STREET ( REG # R-11 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-018,40.68901,-74.0042,"5' 7"""" X 3' 9"""""
RH-021,Buttermilk Channel,36,4,25,7,0,0,0,0,0,0,0,0,SACKETT STREET ( REG # R-9A ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-021,40.68699,-74.0076,"48"""" DIA"
RH-028,Buttermilk Channel,23,31,40,26,12,9,16,12,12,19,0,97,WOLCOTT STREET ( REG # R-2 ),Monitoring,RH,NYCDEP - Red Hook WPCP,NY0027073-028,40.68064,-74.0178,"72"""" DIA"
RH-016,Buttermilk Channel,35,41,23,34,15,26,23,21,17,19,0,18,AMITY STREET (REG # R-12 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-016,40.69049,-74.0008,"8' 6"""" X 8' 6"""""
RH-024,Buttermilk Channel,32,6,25,4,15,3,24,3,2,21,0,2,VERONA STREET ( REG # R-6 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-024,40.68132,-74.012,"24"""" DIA"
